Algorithm,CoverType,KDD99,Sensor,Insects,EDS,ODS
Birch,0.49321,0.852743,0.0418704,0.471793,0.0683492,0.13739
StreamKMeans,0.489109,0.598914,0.0693233,0.488874,0.698671,0.82121
CluStream,0.487599,0.568377,0.0295923,0.188058,0.00718392,0.0792
DenStream,0.487599,0.568377,0.0295923,0.188058,0.00718392,0.0792
DBStream,0.487599,0.568377,0.0295923,0.188058,0.00718392,0.0792
EDMStream,0.487599,0.568377,0.0412537,0.391127,0.0168223,0.0792
DStream,0.487599,0.568377,0.0295923,0.188058,0.00718392,0.0792
SLKMeans,0.487599,0.568377,0.0295923,0.324655,0.00718392,0.0792
G1,0.573246,0.899869,0.127707,0.488402,0.832364,0.69741
G3,0.573246,0.899869,0.127707,0.488402,0.832364,0.69741
G3,0.573246,0.899869,0.127707,0.488402,0.832364,0.69741
G4,0.492269,0.670463,0.0598085,0.345853,0.119766,0.66519
G5,0.495572,0.963941,0.112919,0.507848,0.448522,0.72707
G6,0.400716,0.847749,0.0639525,0.44225,0.0683492,0.13739
G7,0.52231,0.879811,0.07417,0.450229,0.261822,0.51996
G8,0.627729,0.939873,0.144586,0.636692,0.971468,0.88279
G9,0.487599,0.568377,0.0295923,0.188058,0.00718392,0.0792
G10,0.595929,0.982618,0.0673001,0.484002,0.171533,0.25445
StreamKMeans,0.489109,0.598914,0.0693233,0.488874,0.698671,0.82121
SLKMeans,0.487599,0.568377,0.0295923,0.324655,0.00718392,0.0792
G7,0.52231,0.879811,0.10417,0.450229,0.261822,0.51996
G11,0.5723,0.899811,0.14427,0.480229,0.27521,0.51996



